id;name;storage_type_used;full_filename_path;status;preferred_purpose;asset_content_as_blob;asset_content_as_blob_content_type;activation_status;asset_type_id
cd79ea26-0e5b-4b54-a7ea-8867bb28a48c;step-sister off;LOCAL_FILESYSTEM;unaccountably worriedly;ENABLED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;ACTIVE;1
5cf7d92c-cf38-4b85-ad1d-c9e317e4a92a;duh after;REMOTE_FILESYSTEM;thunderhead helplessly or;DISABLED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;ON_HOLD;2
529bfe35-d15d-4b37-b52d-eb1d58724193;estate;OTHER_CLOUD_STORAGE;chill;ENABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;BLOCKED;3
22c296b4-5a06-4498-ab8b-39e08b7493aa;till;LOCAL_FILESYSTEM;overlap snarf;ENABLED;ANY_OFFICE_FILE_TYPE;../fake-data/blob/hipster.png;image/png;ACTIVE;4
0e262fba-15a5-49c8-9b48-e00ce1490705;vitality which below;AWS_S3;stunning;ENABLED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;BLOCKED;5
e9f4f2c7-da65-4b04-8d79-0cb6dbf63999;usefully;AWS_S3;via;ENABLED;PHOTO_ALBUM;../fake-data/blob/hipster.png;image/png;INACTIVE;6
9b525432-d688-46d1-b2e8-67749b4b0ef0;beautifully robe;BLOB_IN_DB;perfect eject;ENABLED;EXECUTABLE_PROGRAM_BINARY;../fake-data/blob/hipster.png;image/png;PENDENT;7
7c34dbc5-df7e-459f-91be-9c03c387ba8a;gadzooks;AWS_S3;fake;DELETED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;INACTIVE;8
7cc9450a-4e0b-403c-8554-3d077ce5416b;hatbox;LOCAL_FILESYSTEM;muse disconnect;DELETED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;BLOCKED;9
3b9721f3-5236-4cd7-b8eb-0336a23b6ddb;optimal last contingency;AWS_S3;through editorial yahoo;ENABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;BLOCKED;10
